id,podcast_id,host_name,title,description,scheduled_start,actual_start,actual_end,status,current_listeners,created_at
f7801428-546c-4a46-af77-946fff37297a,a9e01414-2e02-40b7-9c17-c6658f2fe8b5,Vikram Sen,Live: Discussing History Reimagined with Kumar,Interactive Q&A live broadcast with listeners.,2026-06-19 14:11:29,2026-06-19 14:26:29,2026-06-19 16:04:29,live,69,2026-06-19 14:26:29
37091c5e-8947-429a-9ccd-8af98b4de5e0,bbdae275-4cbb-45a0-9f10-a1e6d3c1284f,Michael Chang,Live: Discussing The Daily Rhythm with Nair,Interactive Q&A live broadcast with listeners.,2026-06-19 14:11:41,2026-06-19 14:26:41,2026-06-19 15:03:41,scheduled,0,2026-06-19 14:26:41
3c90df4e-0068-4b62-a941-4e60611e0f1f,f1710320-f622-445b-9528-047aba344916,Kabir Sharma,Live: Discussing The Daily Rhythm with Rogers,Interactive Q&A live broadcast with listeners.,2026-06-19 14:13:15,2026-06-19 14:28:15,2026-06-19 15:16:15,scheduled,0,2026-06-19 14:28:15
bbbc932e-d15f-4500-b241-378e68836ae4,5e7d5c6d-0c97-4fc0-b77a-e2709b676904,Vikram Sen,Live: Discussing Science Decoded with Chang,Interactive Q&A live broadcast with listeners.,2026-06-19 14:13:56,2026-06-19 14:28:56,2026-06-19 15:08:56,completed,0,2026-06-19 14:28:56
b3d1a17a-4dc9-4237-ae98-6aa8624ad0d8,35261b2e-22e8-477d-8301-e8148aa7c0b8,Priya Nair,Live: Discussing Laugh Track Live with Nair,Interactive Q&A live broadcast with listeners.,2026-06-19 14:15:17,2026-06-19 14:30:17,2026-06-19 17:18:17,cancelled,0,2026-06-19 14:30:17
478145e9-64a5-4e24-b3e6-0e32e5c8f069,f1710320-f622-445b-9528-047aba344916,Kabir Sharma,Live: Discussing The Daily Rhythm with Rogers,Interactive Q&A live broadcast with listeners.,2026-06-19 14:15:34,2026-06-19 14:30:34,2026-06-19 17:55:34,live,30,2026-06-19 14:30:34
20ce9f0b-446b-4e84-a47a-d27465f02e67,f1710320-f622-445b-9528-047aba344916,Kabir Sharma,Live: Discussing The Daily Rhythm with Rogers,Interactive Q&A live broadcast with listeners.,2026-06-19 14:16:09,2026-06-19 14:31:09,2026-06-19 16:01:09,completed,0,2026-06-19 14:31:09
e803b49a-fb3c-4671-9348-85ee583f00fd,14a6b4b9-7ca4-4a2b-b187-c71d7056528e,Sarah Jenkins,Live: Discussing Tech Bytes & Beats with Nair,Interactive Q&A live broadcast with listeners.,2026-06-19 14:16:17,2026-06-19 14:31:17,2026-06-19 16:30:17,live,7,2026-06-19 14:31:17
5445fe91-8c6d-4ed8-9eae-73a4f5ba541d,25a3dc4b-457f-4903-a7ea-213c3c8ef542,Samantha Rogers,Live: Discussing Science Decoded with Reddy,Interactive Q&A live broadcast with listeners.,2026-06-19 14:16:57,2026-06-19 14:31:57,2026-06-19 17:25:57,scheduled,0,2026-06-19 14:31:57
3f92e944-cdaf-4ce9-b87b-81112f4482ef,2ebd73a2-9f2b-44f9-ae48-ded0aefe8433,Michael Chang,Live: Discussing Mindset Matters with Rogers,Interactive Q&A live broadcast with listeners.,2026-06-19 14:17:16,2026-06-19 14:32:16,2026-06-19 18:26:16,live,32,2026-06-19 14:32:16
